Dimension_1	Dimension_2	Dimentions_3
-29.715446	-8.464872	24.735014
-0.45278898	-41.141445	-26.45879
30.234667	-23.881437	3.312427
6.586744	16.491026	-29.765522
23.899366	21.591917	2.073484
6.191208	24.604025	-21.329073
0.43239397	-39.08121	7.7857137
-28.284721	18.575987	2.4448721
-39.340733	24.612806	-15.312049
-21.639172	-33.16924	7.2052627
1.7411734	1.0099499	-22.885845
-1.2197652	22.971087	-11.660009
-9.502001	-5.736399	4.350584
-21.227642	-22.175907	16.168102
-21.958996	6.1854477	4.0913615
-4.7874317	-6.972572	0.71963364
-27.956224	-19.75957	30.719381
-8.745133	34.456318	-15.055809
-30.508097	15.075722	0.8061526
8.823632	-0.8046171	-18.222172
35.01942	-24.279476	8.208655
-21.392897	-1.7266953	-38.81457
-12.973448	-13.496412	5.817899
4.1555037	3.7209423	20.843367
-3.4669166	-7.6631713	34.40301
-31.090025	26.669369	-5.4528646
-13.514201	36.22575	-26.168911
-11.937142	-10.554835	-15.471533
-24.503395	-4.1241875	-7.263979
24.323639	-26.188087	13.0629015
9.161944	-9.911906	-24.614975
21.83656	20.206522	-13.4435215
-29.24448	14.897141	17.616102
